latitude,longitude
172.712202,-43.446314
172.708941,-43.446127
172.705979,-43.446127
172.702932,-43.446189
172.699885,-43.446252
172.696838,-43.446314
172.693791,-43.446376
172.690744,-43.446439
172.687569,-43.446688
172.684779,-43.447186
172.683191,-43.447934
172.682934,-43.448651
172.683706,-43.449211
172.685165,-43.44918
172.686796,-43.448962
172.688856,-43.448682
172.691774,-43.448619
172.694821,-43.448651
172.697868,-43.448588
172.700915,-43.448526
172.704177,-43.448526
172.707739,-43.448557
172.711301,-43.448588
172.712524,-43.448697
172.713275,-43.44985
172.712867,-43.450722
172.710829,-43.450427
172.708726,-43.450146
172.706194,-43.450177
172.703447,-43.450271
172.700744,-43.450271
172.697868,-43.450302
172.694178,-43.450395
172.690444,-43.450489
172.686667,-43.450613
172.683792,-43.450769
172.682805,-43.451704
172.682548,-43.452857
172.683535,-43.453075
172.68508,-43.452701
172.68671,-43.452171
172.688599,-43.45214
172.690744,-43.452296
172.69289,-43.452452
172.693942,-43.452327
172.695894,-43.452234
172.698126,-43.452171
172.700701,-43.452265
172.70349,-43.452234
172.706752,-43.452234
172.710657,-43.452234
172.713189,-43.452358
172.71306,-43.453355
172.71203,-43.454165
172.709799,-43.454196
172.707267,-43.454196
172.704735,-43.454196
172.701902,-43.454134
172.698941,-43.45404
172.69568,-43.453947
172.691817,-43.45404
172.687912,-43.454134
172.684007,-43.454227
172.682762,-43.455287
172.683578,-43.456065
172.685466,-43.456221
172.687526,-43.456003
172.689586,-43.455847
172.691774,-43.455816
172.694006,-43.455816
172.696538,-43.45591
172.699156,-43.45591
172.701859,-43.455847
172.704606,-43.455785
172.707825,-43.455816
172.711258,-43.455878
172.713447,-43.456097
172.713747,-43.457062
172.713189,-43.457872
172.711945,-43.458153
172.710314,-43.458028
172.708426,-43.45781
172.705808,-43.457623
172.703104,-43.457654
172.7004,-43.457685
172.697697,-43.457716
172.69495,-43.457748
172.692161,-43.457748
172.689371,-43.457748
172.687869,-43.457592
172.684393,-43.457436
172.683921,-43.458589
172.683749,-43.459679
172.684736,-43.459741
172.686195,-43.45943
172.687998,-43.45943
172.6898,-43.459461
172.691731,-43.459274
172.694907,-43.459149
172.698126,-43.459118
172.701344,-43.459181
172.704563,-43.459399
172.70761,-43.459305
172.710657,-43.459274
172.713618,-43.459336
172.713232,-43.460582
172.711902,-43.461486
172.709842,-43.461268
172.70731,-43.460925
172.704649,-43.4608
172.701774,-43.460769
172.699242,-43.460831
172.696838,-43.460863
172.694435,-43.460894
172.692032,-43.460925
172.689629,-43.460956
172.687225,-43.460987
172.684822,-43.461018
172.683792,-43.461641
172.684221,-43.462389
172.685723,-43.462514
172.687268,-43.462358
172.688899,-43.462264
172.69083,-43.462264
172.692804,-43.462296
172.694778,-43.462327
172.696753,-43.462358
172.698727,-43.462389
172.700658,-43.462358
172.702589,-43.462327
172.70452,-43.462296
172.706451,-43.462264
172.709155,-43.462451
172.712073,-43.462545
172.712674,-43.463292
172.71143,-43.463884
172.709541,-43.463884
172.707481,-43.463853
172.705336,-43.463822
172.70319,-43.463791
172.701387,-43.463728
172.698512,-43.463791
172.696366,-43.463759
172.694221,-43.463728
172.692075,-43.463697
172.689929,-43.463666
172.687697,-43.463666
172.685423,-43.463666
172.684307,-43.464071
172.684479,-43.464881
172.685122,-43.465722
172.686238,-43.465473
172.688556,-43.465379
172.690873,-43.465286
172.693191,-43.465192
172.695851,-43.465223
172.698555,-43.465286
172.701259,-43.465286
172.703962,-43.465286
172.706666,-43.465286
172.70937,-43.465286
172.712116,-43.465286
172.713189,-43.465971
172.712932,-43.466781
172.711687,-43.467248
172.710056,-43.467217
172.707911,-43.466937
172.705421,-43.466719
172.702546,-43.466656
172.699628,-43.466625
172.696538,-43.466656
172.693448,-43.466687
172.690358,-43.466719
172.687268,-43.46675
172.684264,-43.467123
172.683663,-43.467871
172.684565,-43.468556
172.686367,-43.468681
172.688856,-43.468587
172.691474,-43.4684
172.694092,-43.468214
172.697182,-43.468151
172.700272,-43.46812
172.702246,-43.468089
172.705765,-43.468027
172.709541,-43.46812
172.713447,-43.468245
172.714047,-43.469335
172.711515,-43.470113
172.708211,-43.470082
172.704864,-43.469833
172.701473,-43.469584
172.698083,-43.469335
172.694221,-43.469459
172.690058,-43.470051
172.686152,-43.470892
