lat,lng,ratio
-43.458351,172.698165,1
-43.457276,172.699077,0
-43.456637,172.699592,1
-43.455944,172.698224,1
-43.455076,172.699570,1
-43.454005,172.698942,0
-43.453518,172.701002,1
-43.453393,172.704081,1
-43.453124,172.706870,0
-43.453186,172.707288,1
-43.452785,172.706355,1
-43.452945,172.707932,0
-43.455082,172.704092,1
-43.455464,172.703995,1
-43.455521,172.703992,1
-43.455025,172.702868,0
-43.454859,172.703689,1
-43.454555,172.703249,1
-43.454166,172.704373,1
-43.454388,172.704620,1
-43.454150,172.703805,0
-43.453560,172.705573,1
-43.453377,172.706104,1
-43.452914,172.707518,1
-43.449373,172.702858,1
